2010-08-08 18:52:23 Debug: Notice (8): Undefined variable: res in [APP\controllers\shopps_controller.php, line 224]
2010-08-08 18:52:33 Debug: Notice (8): Undefined variable: res in [APP\controllers\shopps_controller.php, line 224]
2010-08-08 18:54:48 Debug: Notice (8): Undefined variable: res in [APP\controllers\shopps_controller.php, line 224]
2010-08-08 19:13:06 Debug: Notice (8): Undefined variable: caixa in [APP\controllers\shopps_controller.php, line 213]
2010-08-08 19:49:45 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 142]
2010-08-08 20:27:27 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 142]
2010-08-08 20:27:40 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 135]
2010-08-08 20:41:13 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 142]
2010-08-08 20:49:37 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 135]
2010-08-09 18:47:26 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 142]
2010-08-09 18:47:34 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 135]
2010-08-09 18:49:46 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 135]
2010-08-09 18:49:54 Debug: Notice (8): Undefined index: calculo_precos in [APP\controllers\shopps_controller.php, line 235]
2010-08-09 18:49:54 Debug: Notice (8): Undefined index: dados_postais in [APP\controllers\shopps_controller.php, line 235]
